depth	node	alm	alm_self	regs	regs_self	membits	m10k	dsp	full	entity
0	|altsyncram_d6n1:auto_generated|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf0[0].r[7]__6|altsyncram_d6n1:auto_generated	altsyncram_d6n1
0	|altsyncram:o_linf1[0].r[7]__7|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf1[0].r[7]__7	altsyncram
0	|altsyncram_d6n1:auto_generated|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf1[0].r[7]__7|altsyncram_d6n1:auto_generated	altsyncram_d6n1
0	|altsyncram:o_linf2[0].r[7]__8|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf2[0].r[7]__8	altsyncram
0	|altsyncram_d6n1:auto_generated|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf2[0].r[7]__8|altsyncram_d6n1:auto_generated	altsyncram_d6n1
0	|altsyncram:o_linf3[0].r[7]__9|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf3[0].r[7]__9	altsyncram
0	|altsyncram_d6n1:auto_generated|	0.0	0.0	0.0	0.0	6144	1	0	|sys_top|ascal:ascal|altsyncram:o_linf3[0].r[7]__9|altsyncram_d6n1:auto_generated	altsyncram_d6n1
0	|altsyncram:o_v_poly_mem_rtl_0|	0.0	0.0	0.0	0.0	10240	1	0	|sys_top|ascal:ascal|altsyncram:o_v_poly_mem_rtl_0	altsyncram
0	|altsyncram_f9j1:auto_generated|	0.0	0.0	0.0	0.0	10240	1	0	|sys_top|ascal:ascal|altsyncram:o_v_poly_mem_rtl_0|altsyncram_f9j1:auto_generated	altsyncram_f9j1
0	|altsyncram:pal1_mem_rtl_0|	0.0	0.0	0.0	0.0	6144	2	0	|sys_top|ascal:ascal|altsyncram:pal1_mem_rtl_0	altsyncram
0	|altsyncram_q9j1:auto_generated|	0.0	0.0	0.0	0.0	6144	2	0	|sys_top|ascal:ascal|altsyncram:pal1_mem_rtl_0|altsyncram_q9j1:auto_generated	altsyncram_q9j1
0	|audio_out:audio_out|	934.7	85.0	1060.0	186.0	0	0	8	|sys_top|audio_out:audio_out	audio_out
0	|DC_blocker:dcb_l|	77.0	77.0	68.0	68.0	0	0	0	|sys_top|audio_out:audio_out|DC_blocker:dcb_l	DC_blocker
0	|DC_blocker:dcb_r|	76.7	76.7	68.0	68.0	0	0	0	|sys_top|audio_out:audio_out|DC_blocker:dcb_r	DC_blocker
0	|IIR_filter:IIR_filter|	415.3	39.3	353.0	113.0	0	0	8	|sys_top|audio_out:audio_out|IIR_filter:IIR_filter	IIR_filter
0	|iir_filter_tap:iir_tap_0|	112.0	112.0	80.0	80.0	0	0	2	|sys_top|audio_out:audio_out|IIR_filter:IIR_filter|iir_filter_tap:iir_tap_0	iir_filter_tap
0	|iir_filter_tap:iir_tap_1|	133.1	133.1	80.0	80.0	0	0	2	|sys_top|audio_out:audio_out|IIR_filter:IIR_filter|iir_filter_tap:iir_tap_1	iir_filter_tap
0	|iir_filter_tap:iir_tap_2|	130.9	130.9	80.0	80.0	0	0	2	|sys_top|audio_out:audio_out|IIR_filter:IIR_filter|iir_filter_tap:iir_tap_2	iir_filter_tap
0	|aud_mix_top:audmix_l|	103.3	103.3	118.0	118.0	0	0	0	|sys_top|audio_out:audio_out|aud_mix_top:audmix_l	aud_mix_top
0	|aud_mix_top:audmix_r|	102.0	102.0	122.0	122.0	0	0	0	|sys_top|audio_out:audio_out|aud_mix_top:audmix_r	aud_mix_top
0	|i2s:i2s|	23.0	23.0	44.0	44.0	0	0	0	|sys_top|audio_out:audio_out|i2s:i2s	i2s
0	|sigma_delta_dac:sd_l|	9.8	9.8	20.0	20.0	0	0	0	|sys_top|audio_out:audio_out|sigma_delta_dac:sd_l	sigma_delta_dac
0	|sigma_delta_dac:sd_r|	9.5	9.5	19.0	19.0	0	0	0	|sys_top|audio_out:audio_out|sigma_delta_dac:sd_r	sigma_delta_dac
0	|spdif:toslink|	32.6	32.6	62.0	62.0	0	0	0	|sys_top|audio_out:audio_out|spdif:toslink	spdif
0	|csync:csync_hdmi|	23.2	23.2	58.0	58.0	0	0	0	|sys_top|csync:csync_hdmi	csync
0	|csync:csync_vga|	24.3	24.3	52.0	52.0	0	0	0	|sys_top|csync:csync_vga	csync
0	|ddr_svc:ddr_svc|	28.7	28.7	157.0	157.0	0	0	0	|sys_top|ddr_svc:ddr_svc	ddr_svc
0	|emu:emu|	18170.4	528.2	22365.0	604.0	3644840	476	16	|sys_top|emu:emu	emu
0	|CART:CART|	29.3	29.3	53.0	53.0	0	0	0	|sys_top|emu:emu|CART:CART	CART
0	|MCD:MCD|	6068.6	8.7	7261.0	0.0	2833056	349	5	|sys_top|emu:emu|MCD:MCD	MCD
0	|ASIC:ASIC|	1604.4	1604.4	2404.0	2404.0	0	0	0	|sys_top|emu:emu|MCD:MCD|ASIC:ASIC	ASIC
0	|CDC:CDC|	171.2	171.2	252.0	252.0	0	0	0	|sys_top|emu:emu|MCD:MCD|CDC:CDC	CDC
0	|CD_DAC:CD_DAC|	94.5	27.5	176.0	96.0	40960	7	2	|sys_top|emu:emu|MCD:MCD|CD_DAC:CD_DAC	CD_DAC
0	|CDDA_FIFO:FIFO|	27.4	27.4	47.0	47.0	40960	7	0	|sys_top|emu:emu|MCD:MCD|CD_DAC:CD_DAC|CDDA_FIFO:FIFO	CDDA_FIFO
0	|altsyncram:BUFFER_rtl_0|	0.0	0.0	0.0	0.0	40960	7	0	|sys_top|emu:emu|MCD:MCD|CD_DAC:CD_DAC|CDDA_FIFO:FIFO|altsyncram:BUFFER_rtl_0	altsyncram
0	|altsyncram_rbn1:auto_generated|	0.0	0.0	0.0	0.0	40960	7	0	|sys_top|emu:emu|MCD:MCD|CD_DAC:CD_DAC|CDDA_FIFO:FIFO|altsyncram:BUFFER_rtl_0|altsyncram_rbn1:auto_generated	altsyncram_rbn1
0	|CEGen:CEGen|	39.5	39.5	33.0	33.0	0	0	0	|sys_top|emu:emu|MCD:MCD|CD_DAC:CD_DAC|CEGen:CEGen	CEGen
0	|CODES:gg|	1408.4	1408.4	1983.0	1983.0	0	0	0	|sys_top|emu:emu|MCD:MCD|CODES:gg	CODES
0	|M68K_WRAP:S68K|	2005.8	0.5	1453.0	0.0	39584	6	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K	M68K_WRAP
0	|fx68k:P68K|	2004.8	158.6	1453.0	212.0	39584	6	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K	fx68k
0	|busArbiter:busArbiter|	0.3	0.3	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|busArbiter:busArbiter	busArbiter
0	|busControl:busControl|	27.2	27.2	19.0	19.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|busControl:busControl	busControl
0	|excUnit:excUnit|	1337.4	1106.8	1153.0	1006.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit	excUnit
0	|dataIo:dataIo|	25.7	25.7	55.0	55.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|dataIo:dataIo	dataIo
0	|fx68kAlu:alu|	192.0	136.9	92.0	92.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu	fx68kAlu
0	|aluCorf:aluCorf|	14.4	14.4	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu|aluCorf:aluCorf	aluCorf
0	|aluGetOp:aluGetOp|	9.4	9.4	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu|aluGetOp:aluGetOp	aluGetOp
0	|aluShifter:shifter|	4.3	4.3	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu|aluShifter:shifter	aluShifter
0	|ccrTable:ccrTable|	5.6	5.6	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu|ccrTable:ccrTable	ccrTable
0	|rowDecoder:rowDecoder|	18.5	18.5	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|fx68kAlu:alu|rowDecoder:rowDecoder	rowDecoder
0	|onehotEncoder4:dcrDecoder|	4.0	4.0	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|onehotEncoder4:dcrDecoder	onehotEncoder4
0	|pren:rmPren|	8.8	8.8	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|excUnit:excUnit|pren:rmPren	pren
0	|irdDecode:irdDecode|	12.3	11.2	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|irdDecode:irdDecode	irdDecode
0	|onehotEncoder4:irdLines|	1.2	1.2	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|irdDecode:irdDecode|onehotEncoder4:irdLines	onehotEncoder4
0	|microToNanoAddr:microToNanoAddr|	6.3	6.3	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|microToNanoAddr:microToNanoAddr	microToNanoAddr
0	|nDecoder3:nDecoder|	27.2	27.2	55.0	55.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|nDecoder3:nDecoder	nDecoder3
0	|nanoRom:nanoRom|	0.0	0.0	0.0	0.0	22176	4	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|nanoRom:nanoRom	nanoRom
0	|altsyncram:nRam_rtl_0|	0.0	0.0	0.0	0.0	22176	4	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|nanoRom:nanoRom|altsyncram:nRam_rtl_0	altsyncram
0	|altsyncram_p2d1:auto_generated|	0.0	0.0	0.0	0.0	22176	4	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|nanoRom:nanoRom|altsyncram:nRam_rtl_0|altsyncram_p2d1:auto_generated	altsyncram_p2d1
0	|sequencer:sequencer|	39.9	39.9	14.0	14.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|sequencer:sequencer	sequencer
0	|uRom:uRom|	0.0	0.0	0.0	0.0	17408	2	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uRom:uRom	uRom
0	|altsyncram:uRam_rtl_0|	0.0	0.0	0.0	0.0	17408	2	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uRom:uRom|altsyncram:uRam_rtl_0	altsyncram
0	|altsyncram_bmc1:auto_generated|	0.0	0.0	0.0	0.0	17408	2	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uRom:uRom|altsyncram:uRam_rtl_0|altsyncram_bmc1:auto_generated	altsyncram_bmc1
0	|uaddrDecode:uaddrDecode|	395.5	6.7	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uaddrDecode:uaddrDecode	uaddrDecode
0	|onehotEncoder4:irLineDecod|	3.0	3.0	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uaddrDecode:uaddrDecode|onehotEncoder4:irLineDecod	onehotEncoder4
0	|pla_lined:pla_lined|	385.9	385.9	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|M68K_WRAP:S68K|fx68k:P68K|uaddrDecode:uaddrDecode|pla_lined:pla_lined	pla_lined
0	|PCM:PCM|	509.6	471.6	854.0	819.0	0	0	3	|sys_top|emu:emu|MCD:MCD|PCM:PCM	PCM
0	|CEGen:CEGen|	38.0	38.0	35.0	35.0	0	0	0	|sys_top|emu:emu|MCD:MCD|PCM:PCM|CEGen:CEGen	CEGen
0	|dpram:PCM_RAM|	26.3	0.0	6.0	0.0	524288	64	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM	dpram
0	|dpram_dif:ram|	26.3	0.0	6.0	0.0	524288	64	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM|dpram_dif:ram	dpram_dif
0	|altsyncram:altsyncram_component|	26.3	0.0	6.0	0.0	524288	64	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM|dpram_dif:ram|altsyncram:altsyncram_component	altsyncram
0	|altsyncram_bf34:auto_generated|	26.3	2.0	6.0	6.0	524288	64	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM|dpram_dif:ram|altsyncram:altsyncram_component|altsyncram_bf34:auto_generated	altsyncram_bf34
0	|decode_dla:decode2|	5.0	5.0	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM|dpram_dif:ram|altsyncram:altsyncram_component|altsyncram_bf34:auto_generated|decode_dla:decode2	decode_dla
0	|mux_tfb:mux5|	19.3	19.3	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|dpram:PCM_RAM|dpram_dif:ram|altsyncram:altsyncram_component|altsyncram_bf34:auto_generated|mux_tfb:mux5	mux_tfb
0	|dpram_dif:CDC_RAM|	2.7	0.0	1.0	0.0	131072	16	0	|sys_top|emu:emu|MCD:MCD|dpram_dif:CDC_RAM	dpram_dif
0	|altsyncram:altsyncram_component|	2.7	0.0	1.0	0.0	131072	16	0	|sys_top|emu:emu|MCD:MCD|dpram_dif:CDC_RAM|altsyncram:altsyncram_component	altsyncram
0	|altsyncram_te34:auto_generated|	2.7	0.0	1.0	1.0	131072	16	0	|sys_top|emu:emu|MCD:MCD|dpram_dif:CDC_RAM|altsyncram:altsyncram_component|altsyncram_te34:auto_generated	altsyncram_te34
0	|decode_5la:decode3|	0.7	0.7	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|dpram_dif:CDC_RAM|altsyncram:altsyncram_component|altsyncram_te34:auto_generated|decode_5la:decode3	decode_5la
0	|mux_lfb:mux4|	2.0	2.0	0.0	0.0	0	0	0	|sys_top|emu:emu|MCD:MCD|dpram_dif:CDC_RAM|altsyncram:altsyncram_component|altsyncram_te34:auto_generated|mux_lfb:mux4	mux_lfb
0	|spram:WORDRAM0|	119.3	0.0	68.0	0.0	1048576	128	0	|sys_top|emu:emu|MCD:MCD|spram:WORDRAM0	spram
0	|spram_sz:spram_sz|	119.3	0.0	68.0	0.0	1048576	128	0	|sys_top|emu:emu|MCD:MCD|spram:WORDRAM0|spram_sz:spram_sz	spram_sz
0	|altsyncram:altsyncram_component|	119.3	0.0	68.0	0.0	1048576	128	0	|sys_top|emu:emu|MCD:MCD|spram:WORDRAM0|spram_sz:spram_sz|altsyncram:altsyncram_component	altsyncram
