depth	node	alm	alm_self	regs	regs_self	membits	m10k	dsp	full	entity
0	|sys_top	22594.5	817.9	31570.0	1460.0	4009550	522	49	|sys_top	sys_top
0	|alsa:alsa|	268.5	268.5	559.0	559.0	0	0	0	|sys_top|alsa:alsa	alsa
0	|altddio_out:hdmiclk_ddr|	0.0	0.0	0.0	0.0	0	0	0	|sys_top|altddio_out:hdmiclk_ddr	altddio_out
0	|ddio_out_b2j:auto_generated|	0.0	0.0	0.0	0.0	0	0	0	|sys_top|altddio_out:hdmiclk_ddr|ddio_out_b2j:auto_generated	ddio_out_b2j
0	|altddio_out:vgaclk_ddr|	0.0	0.0	0.0	0.0	0	0	0	|sys_top|altddio_out:vgaclk_ddr	altddio_out
0	|ddio_out_1oj:auto_generated|	0.0	0.0	0.0	0.0	0	0	0	|sys_top|altddio_out:vgaclk_ddr|ddio_out_1oj:auto_generated	ddio_out_1oj
0	|altshift_taps:dv_d1_rtl_0|	3.7	0.0	5.0	0.0	231	2	0	|sys_top|altshift_taps:dv_d1_rtl_0	altshift_taps
0	|shift_taps_ruu:auto_generated|	3.7	1.0	5.0	2.0	231	2	0	|sys_top|altshift_taps:dv_d1_rtl_0|shift_taps_ruu:auto_generated	shift_taps_ruu
0	|altsyncram_or91:altsyncram4|	0.0	0.0	0.0	0.0	231	2	0	|sys_top|altshift_taps:dv_d1_rtl_0|shift_taps_ruu:auto_generated|altsyncram_or91:altsyncram4	altsyncram_or91
0	|cntr_ohf:cntr1|	2.5	2.5	3.0	3.0	0	0	0	|sys_top|altshift_taps:dv_d1_rtl_0|shift_taps_ruu:auto_generated|cntr_ohf:cntr1	cntr_ohf
0	|ascal:ascal|	2060.0	2057.0	4093.0	4089.0	315488	43	23	|sys_top|ascal:ascal	ascal
0	|altshift_taps:o_vpix_inner[2].r_rtl_0|	3.0	0.0	4.0	0.0	96	1	0	|sys_top|ascal:ascal|altshift_taps:o_vpix_inner[2].r_rtl_0	altshift_taps
